Model,CV R² Mean,CV R² Std,Train R²,Test R²,Test MAE,Test RMSE,Overfit Gap
xgboost_tuned,0.6742984807111825,0.058476650848283386,0.8302491817858992,0.6886353368798565,4.069918493389503,8.976108027813575,0.14161384490604279
xgboost,0.6628755414687845,0.062247371158872626,0.9730459851564398,0.6862587957311161,3.8084621062518393,9.010298708478164,0.28678718942532366
random_forest,0.6330946771504959,0.06630652687247733,0.8002067084854381,0.6767401343316981,3.621380596569771,9.14596012003483,0.12346657415373996
lightgbm,0.6426406677925887,0.08289940233635729,0.9314548564125434,0.6767090261239624,3.619120497351029,9.146400180204674,0.254745830288581
gradient_boosting,0.652574293361719,0.052526599523546755,0.9633316652832071,0.662971280119794,3.6807066353628493,9.338709472628125,0.3003603851634131
ridge,0.35048969099113825,0.0819355067325951,0.37563649226646767,0.3745610034179523,9.689781078114507,12.72172160415188,0.0010754888485153824
elastic_net,0.3448073074358485,0.07613334944358312,0.3679454209934562,0.3658309307508445,9.857631870690927,12.810200798895304,0.0021144902426116774
