player_name,season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game,recs_per_game,tds_per_game,production_score,vol_tier,spd_score,burst_rt,first_step,brake_rt,route_div,sep_consistency,man_win_rt,tracking,contested_rt,tight_tgt_pct,yac_ability,qb_friendly,sharp_cuts,route_bend,cut_sep,high_vol,dist_per_play,tot_explosive,explosive_rt,ath_score,rr_grade,prospect_score,archetype
Toler Keigley,2022.0,NCWE,WR,82.0,697.0,13.0,45.0,21.0,15.0,0.0,0.0,15.0,18.55,18.366,14.586,14.5572,16.33,18.32,18.55,1.14,2.44,,,62.19512195,3.658536585,14.63414634,,,0.2682352941,,5.6289408,10.8256204,8.45432,10.6524434,0.5587769,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),18.458,54.87804878048781,16.33,18.29268292682927,24.512195120999998,14.5572,,0.2682352941,0.0,18.29268292682927,,,10.7390319,7.041630399999999,0.5587769,0,8.5,60.0,73.17073170731707,54.3130544511344,75.74880843477837,65.03093144295639,4.0
Xzavier Henderson,2022.0,FLUN,WR,88.0,683.0,28.0,35.0,30.0,19.0,0.0,0.0,9.0,19.53,19.377,18.026,14.93869,16.7,19.05,19.22,1.14,2.2,,,60.22727273,1.136363636,12.5,,,0.439,,8.3534136,15.10187,8.4925008,16.0932072,0.940652,,,,,False,True,0.0,Xzavier Henderson,11.0,38.0,410.0,2.0,10.8,37.3,3.4545454545454546,0.1818181818181818,29.181818181818183,50-100 (Rotational),19.298499999999997,39.77272727272727,16.7,21.59090909090909,22.2727272734,14.93869,,0.439,0.0,10.227272727272728,,,15.5975386,8.422957199999999,0.940652,0,7.761363636363637,54.0,61.36363636363637,50.62375423374523,74.87080942358742,62.747281828666324,4.0
Jared Gipson,2022.0,CASA,WR,127.0,1072.0,21.0,76.0,21.0,50.0,0.0,0.0,10.0,18.69,18.4015,14.252,11.70598889,15.99,18.51,16.03,1.15,2.34,,,62.20472441,1.57480315,32.28346457,,,-0.4964150943,,10.2392724,14.9818732,3.5399056,14.6682448,0.525205,,,,,False,True,0.0,,,,,,,,,,,100-150 (Starter),17.21575,59.84251968503938,15.99,39.37007874015748,28.976377954,11.70598889,,-0.4964150943,0.0,7.874015748031496,,,14.825059,6.889589000000001,0.525205,0,8.440944881889763,126.0,99.21259842519686,52.47957059297812,68.17283772333604,60.32620415815708,4.0
R.J. Sneed II,2022.0,COUN,WR,111.0,967.0,13.0,58.0,31.0,36.0,0.0,0.0,13.0,18.36,18.176,10.72,10.5121,16.46,18.08,18.36,1.15,2.34,7.38,5.51,60.36036036,1.801801802,21.62162162,,,0.6328571429,,7.695249333,12.7605688,5.963477333,13.0551064,2.944332835,,,,,False,True,0.0,R.J. Sneed II,11.0,20.0,168.0,0.0,8.4,15.3,1.818181818181818,0.0,11.272727272727272,100-150 (Starter),18.268,52.25225225225225,16.46,32.432432432432435,25.3153153148,10.5121,7.38,0.6328571429,0.0,11.711711711711711,,,12.9078376,6.829363333,2.944332835,0,8.711711711711711,94.0,84.68468468468468,52.61193625691135,65.7170967110664,59.164516483988876,4.0
Braden Contreras,2022.0,INVA,WR,51.0,457.0,6.0,19.0,12.0,3.0,0.0,0.0,5.0,18.07,18.0412,17.006,15.56498,17.16,18.01,16.09,1.17,2.44,,,58.82352941,1.960784314,1.960784314,,,-0.08307692308,,11.754232,11.06334133,3.384000667,13.14737667,6.2165003,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),17.0656,37.254901960784316,17.16,5.88235294117647,19.0196078428,15.56498,,-0.08307692308,0.0,9.803921568627452,,,12.105359,7.5691163335,6.2165003,0,8.96078431372549,22.0,43.13725490196079,42.52635411484111,73.91713360288152,58.221743858861316,4.0
John Erby,2022.0,RIUN,WR,69.0,652.0,12.0,39.0,14.0,16.0,0.0,0.0,16.0,18.26,18.2228,10.34,10.2869,15.3,18.2,18.26,1.25,2.54,,,69.56521739,4.347826087,18.84057971,,,0.09166666667,,8.536136,12.258764,9.377022667,14.04508,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),18.2414,56.52173913043478,15.3,23.18840579710145,28.260869564799997,10.2869,,0.09166666667,0.0,23.18840579710145,,,13.151921999999999,8.9565793335,,0,9.44927536231884,55.0,79.71014492753623,54.31991774566152,61.018490495269944,57.669204120465736,4.0
Jaden Bradley,2022.0,PAPT,WR,123.0,1045.0,22.0,58.0,35.0,28.0,0.0,0.0,18.0,21.43,18.7011,10.64,9.9057,16.72,18.63,18.59,1.05,1.95,7.77,3.69,59.3495935,1.62601626,17.07317073,,,-0.1404545455,,11.57469133,12.8028404,8.561135333,13.925083,1.1424298,,,,,False,True,0.0,Jaden Bradley,6.0,10.0,130.0,2.0,13.0,21.7,1.6666666666666667,0.3333333333333333,20.833333333333332,100-150 (Starter),18.64555,47.15447154471545,16.72,22.76422764227642,23.577235772999998,9.9057,7.77,-0.1404545455,0.0,14.634146341463413,,,13.3639617,10.0679133315,1.1424298,0,8.495934959349594,86.0,69.91869918699187,51.66293164014288,63.44443218884255,57.553681914492714,4.0
Zavier Scott,2022.0,MEUN,WR,150.0,1098.0,26.0,55.0,55.0,17.0,0.0,0.0,15.0,21.01,19.8604,20.22222222,13.39372222,16.4,19.02,19.9,1.0,1.98,,,51.33333333,2.0,6.666666667,,,0.728,,9.247480667,11.2851536,5.270314,12.3146716,,,,,,False,True,0.0,,,,,,,,,,,100-150 (Starter),19.8802,36.666666666666664,16.4,11.333333333333332,18.1999999991,13.39372222,,0.728,0.0,10.0,,,11.799912599999999,7.2588973335,,1,7.32,72.0,48.0,51.15437032038139,63.2876705465986,57.22102043349,4.0
Dequece Carter,2022.0,NYFO,WR,329.0,2898.0,52.0,146.0,74.0,80.0,0.0,0.0,52.0,20.11,19.5121,15.015,10.6,16.91,19.25,17.77,1.05,2.16,5.95,4.78,64.1337386,3.647416413,19.45288754,,,0.805952381,,13.4341872,15.5423128,7.5325264,15.3773176,2.172800533,,,,,False,True,0.0,,,,,,,,,,,300+ (Elite),18.64105,44.37689969604863,16.91,24.316109422492403,26.5349544072,10.6,5.95,0.805952381,0.0,15.80547112462006,,,15.4598152,10.4833568,2.172800533,1,8.808510638297872,226.0,68.69300911854104,50.48302674559743,63.741939327396764,57.112483036497096,4.0
Adam Jones,2022.0,ARST,WR,69.0,645.0,12.0,38.0,26.0,16.0,0.0,0.0,11.0,18.02,17.6716,11.41888889,11.10111111,16.72,18.02,15.34,1.24,2.43,,,69.56521739,2.898550725,18.84057971,,,-1.107083333,,11.914455,13.7682692,3.398773,13.4914584,,,,,,False,True,0.0,Adam Jones,10.0,16.0,167.0,0.0,10.4,16.7,1.6,0.0,11.55,50-100 (Rotational),16.5058,55.072463768115945,16.72,23.18840579710145,27.681159419999997,11.10111111,,-1.107083333,0.0,15.942028985507244,,,13.6298638,7.656614,,0,9.347826086956522,54.0,78.26086956521739,48.239043868484416,63.98265682810934,56.11085034829688,4.0
