player_name,season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game,recs_per_game,tds_per_game,production_score,vol_tier,spd_score,burst_rt,first_step,brake_rt,route_div,sep_consistency,man_win_rt,tracking,contested_rt,tight_tgt_pct,yac_ability,qb_friendly,sharp_cuts,route_bend,cut_sep,high_vol,dist_per_play,tot_explosive,explosive_rt,ath_score,rr_grade,prospect_score,archetype
Alex Brown,2022.0,WYUN,WR,57.0,475.0,12.0,45.0,19.0,15.0,0.0,0.0,11.0,20.95,20.5234,17.76,14.379,16.51,19.31,20.95,1.01,2.01,,,61.40350877,0.0,24.56140351,,,0.2889473684,,11.822412,8.6152248,6.872544,10.990616,1.039259433,,,,,False,True,0.0,Alex Brown,12.0,6.0,69.0,1.0,11.5,5.8,0.5,0.0833333333333333,5.541666666666667,50-100 (Rotational),20.7367,78.94736842105263,16.51,26.31578947368421,25.789473684,14.379,,0.2889473684,0.0,19.298245614035086,,,9.8029204,9.347478,1.039259433,0,8.333333333333334,60.0,105.26315789473684,71.59978917820354,76.42524794320683,74.01251856070519,0.0
Tyson Mobley,2022.0,SCCC,WR,61.0,519.0,11.0,46.0,13.0,17.0,0.0,0.0,4.0,20.15,19.4261,17.88666667,14.47766667,18.1,19.41,19.67,1.05,2.14,2.21,5.41,59.01639344,3.278688525,22.95081967,,,-0.6511764706,,12.3119444,15.3445908,9.5915624,16.4191076,0.70530304,,,,,False,True,0.0,Tyson Mobley,13.0,40.0,490.0,5.0,12.3,37.7,3.076923076923077,0.3846153846153846,32.69230769230769,50-100 (Rotational),19.548050000000003,75.40983606557377,18.1,27.86885245901639,25.901639343,14.47766667,2.21,-0.6511764706,0.0,6.557377049180328,,,15.881849200000001,10.951753400000001,0.70530304,0,8.508196721311476,63.0,103.27868852459017,66.36711970911453,66.48790152288365,66.4275106159991,0.0
Ahmarian Granger,2022.0,VAOD,WR,73.0,705.0,8.0,56.0,25.0,14.0,0.0,0.0,8.0,18.51,18.335,10.71,10.339,16.09,18.01,18.26,1.15,2.34,6.3,2.93,73.97260274,1.369863014,19.17808219,,,-0.7521276596,,8.1570552,13.4750952,7.5393444,12.7592052,0.4789268567,,,,,False,True,0.0,Ahmarian Granger,12.0,15.0,174.0,0.0,11.6,14.5,1.25,0.0,9.75,50-100 (Rotational),18.2975,76.71232876712328,16.09,19.17808219178082,28.4931506846,10.339,6.3,-0.7521276596,0.0,10.95890410958904,,,13.117150200000001,7.8481998,0.4789268567,0,9.657534246575343,70.0,95.8904109589041,62.97057353898256,65.24623434358618,64.10840394128437,0.0
Brenden Rice,2022.0,CASC,WR,106.0,895.0,17.0,81.0,25.0,41.0,0.0,0.0,18.0,19.57,19.2188,9.65,9.5086,15.99,18.98,19.57,1.14,2.24,,,64.1509434,0.0,35.8490566,,,-0.3660869565,,12.4264868,14.5400668,12.6501172,16.95773,2.294639171,Brenden Rice,7.0,225.0,2024.0,True,False,10.0,Brenden Rice,14.0,39.0,611.0,4.0,15.7,43.6,2.7857142857142856,0.2857142857142857,33.107142857142854,100-150 (Starter),19.3944,76.41509433962264,15.99,38.67924528301887,30.0,9.5086,,-0.3660869565,0.0,16.9811320754717,,,15.748898400000002,12.538302,2.294639171,0,8.443396226415095,122.0,115.09433962264151,66.30453183921247,59.55008473399653,62.9273082866045,0.0
TJ Sheffield,2022.0,INPU,WR,66.0,573.0,4.0,40.0,13.0,33.0,0.0,0.0,6.0,18.82,18.253,10.82,10.6688,16.48,18.56,18.24,1.15,2.24,,,63.63636364,0.0,46.96969697,,,0.40725,,10.8447108,13.6523632,6.8534536,15.5341314,1.046223006,,,,,False,True,0.0,TJ Sheffield,14.0,46.0,480.0,4.0,10.4,34.3,3.2857142857142856,0.2857142857142857,29.428571428571427,50-100 (Rotational),18.246499999999997,60.60606060606061,16.48,50.0,33.181818183000004,10.6688,,0.40725,0.0,9.090909090909092,,,14.5932473,8.8490822,1.046223006,0,8.681818181818182,73.0,110.6060606060606,56.050142657660345,68.39062406527366,62.220383361467,0.0
Jaylen Johnson,2022.0,NCEA,WR,92.0,782.0,10.0,63.0,19.0,26.0,0.0,0.0,7.0,19.47,18.7812,10.94,10.7188,16.45,18.06,19.47,1.13,2.15,5.06,2.41,61.95652174,0.0,27.17391304,,,-0.9833333333,,10.5706272,14.8291502,6.5398256,13.3510076,0.7662486667,,,,,False,True,0.0,Jaylen Johnson,10.0,26.0,340.0,4.0,13.1,34.0,2.6,0.4,30.2,50-100 (Rotational),19.1256,68.47826086956522,16.45,28.26086956521739,26.739130433999996,10.7188,5.06,-0.9833333333,0.0,7.608695652173914,,,14.090078900000002,8.5552264,0.7662486667,0,8.5,89.0,96.73913043478261,62.12596195383355,62.277107784493666,62.20153486916361,0.0
Tyrone Broden,2022.0,OHBG,WR,74.0,636.0,11.0,47.0,15.0,12.0,0.0,0.0,6.0,21.01,20.0854,12.11,11.0375,16.6,19.32,20.61,1.04,2.03,4.74,,58.10810811,2.702702703,14.86486486,,,-2.072608696,,12.1578576,13.3932792,10.6947148,13.8991748,0.58189132,,,,,False,True,0.0,Tyrone Broden,13.0,32.0,506.0,7.0,15.8,38.9,2.4615384615384617,0.5384615384615384,35.15384615384615,50-100 (Rotational),20.3477,63.51351351351351,16.6,16.216216216216218,22.9729729722,11.0375,4.74,-2.072608696,0.0,8.108108108108109,,,13.646227,11.4262862,0.58189132,0,8.594594594594595,59.0,79.72972972972973,63.89579355852186,59.622540608150054,61.75916708333595,0.0
Gavin Blackwell,2022.0,NCUN,WR,103.0,833.0,18.0,65.0,25.0,43.0,0.0,0.0,19.0,21.26,21.0422,9.34,8.5854,16.52,20.05,21.26,1.04,2.04,4.77,2.16,56.31067961,3.883495146,35.9223301,,,-0.3794,,11.6751432,11.2115192,5.4394004,13.308736,0.05567266667,,,,,False,True,0.0,Gavin Blackwell,13.0,18.0,239.0,1.0,13.3,18.4,1.3846153846153846,0.0769230769230769,13.5,100-150 (Starter),21.1511,63.10679611650486,16.52,41.74757281553398,29.2233009714,8.5854,4.77,-0.3794,0.0,18.446601941747574,,,12.2601276,8.5572718,0.05567266667,0,8.087378640776699,108.0,104.85436893203884,66.25834981396345,57.19701755517558,61.72768368456951,0.0
Hayden Fisher,2022.0,MAMK,WR,77.0,724.0,8.0,46.0,19.0,18.0,0.0,0.0,13.0,19.33,18.6788,13.36888889,11.3622,16.66,18.45,18.8,1.14,2.24,,,71.42857143,2.597402597,18.18181818,,,-0.7876470588,,9.0924848,10.5324464,7.2243528,12.5396656,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),18.7394,59.74025974025974,16.66,23.376623376623375,27.922077921800003,11.3622,,-0.7876470588,0.0,16.883116883116884,,,11.536055999999999,8.1584188,,0,9.402597402597403,64.0,83.11688311688312,57.24096970401061,65.42481770627401,61.33289370514231,0.0
Tahj Washington,2022.0,CASC,WR,103.0,967.0,43.0,58.0,38.0,36.0,0.0,0.0,16.0,21.11,21.013,10.089,9.99142,16.79,19.76,21.11,1.04,2.04,,,66.99029126,1.941747573,23.30097087,,,0.3351162791,,13.8309948,14.7650608,10.97698,16.4927422,1.6627843,Tahj Washington,7.0,241.0,2024.0,True,False,10.0,Tahj Washington,14.0,50.0,785.0,6.0,15.7,56.1,3.5714285714285716,0.4285714285714285,43.75,100-150 (Starter),21.061500000000002,56.310679611650485,16.79,34.95145631067961,27.8640776682,9.99142,,0.3351162791,0.0,15.53398058252427,,,15.6289015,12.403987399999998,1.6627843,0,9.388349514563107,94.0,91.2621359223301,63.123572776795555,59.243365808799005,61.183469292797284,0.0
