player_name,season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game,recs_per_game,tds_per_game,production_score,vol_tier,spd_score,burst_rt,first_step,brake_rt,route_div,sep_consistency,man_win_rt,tracking,contested_rt,tight_tgt_pct,yac_ability,qb_friendly,sharp_cuts,route_bend,cut_sep,high_vol,dist_per_play,tot_explosive,explosive_rt,ath_score,rr_grade,prospect_score,archetype
Braden Lenzy,2022.0,INND,WR,140.0,1088.0,36.0,78.0,42.0,30.0,0.0,0.0,22.0,20.82,20.6946,9.36,8.78,17.53,19.1,20.8,0.99,2.0,,,51.42857143,0.7142857143,17.85714286,,,-0.01,,6.8766348,13.0251072,8.2143264,12.470122,0.4378737207,,,,,False,True,0.0,Braden Lenzy,13.0,24.0,309.0,3.0,12.9,23.8,1.8461538461538465,0.2307692307692307,20.192307692307693,100-150 (Starter),20.747300000000003,55.714285714285715,17.53,21.428571428571427,21.071428572719995,8.78,,-0.01,0.0,15.714285714285714,,,12.7476146,7.545480599999999,0.4378737207,0,7.771428571428571,108.0,77.14285714285715,61.88254922307286,46.014922323545484,53.94873577330917,0.0
Zavier Scott,2022.0,MEUN,WR,150.0,1098.0,26.0,55.0,55.0,17.0,0.0,0.0,15.0,21.01,19.8604,20.22222222,13.39372222,16.4,19.02,19.9,1.0,1.98,,,51.33333333,2.0,6.666666667,,,0.728,,9.247480667,11.2851536,5.270314,12.3146716,,,,,,False,True,0.0,,,,,,,,,,,100-150 (Starter),19.8802,36.666666666666664,16.4,11.333333333333332,18.1999999991,13.39372222,,0.728,0.0,10.0,,,11.799912599999999,7.2588973335,,1,7.32,72.0,48.0,51.15437032038139,63.2876705465986,57.22102043349,4.0
J.Michael Sturdivant,2022.0,CAUN,WR,170.0,1611.0,33.0,95.0,76.0,26.0,0.0,0.0,30.0,21.16,20.5848,10.16,9.05385,17.27,19.7,21.16,1.0,2.01,2.3,2.07,70.0,2.941176471,12.35294118,,,-0.0215942029,,10.0033696,14.304164,6.95436,16.0250272,1.250344517,,,,,False,True,0.0,J.Michael Sturdivant,12.0,65.0,755.0,7.0,11.6,62.9,5.416666666666667,0.5833333333333334,53.958333333333336,150-200 (Heavy),20.8724,55.88235294117647,17.27,15.294117647058824,25.8823529424,9.05385,2.3,-0.0215942029,0.0,17.647058823529413,,,15.1645956,8.4788648,1.250344517,1,9.476470588235294,121.0,71.17647058823529,62.34754581068265,50.54345176384685,56.445498787264754,0.0
Dominic Lovett,2022.0,MOUN,WR,62.0,623.0,15.0,26.0,23.0,4.0,0.0,0.0,6.0,20.51,20.1796,10.138,9.4901,16.34,19.59,20.3,1.01,2.09,3.57,2.63,64.51612903,4.838709677,3.225806452,,,0.3439393939,,12.483758,15.13596,6.006658,17.2290858,-0.0058541,,,,,False,True,0.0,Dominic Lovett,12.0,56.0,846.0,3.0,15.1,70.5,4.666666666666667,0.25,49.583333333333336,50-100 (Rotational),20.239800000000002,41.935483870967744,16.34,6.451612903225806,22.258064515399997,9.4901,3.57,0.3439393939,0.0,9.67741935483871,,,16.182522900000002,9.245208,-0.0058541,0,10.048387096774194,30.0,48.38709677419355,54.49951096935395,51.875625892033185,53.18756843069357,1.0
Alex Brown,2022.0,WYUN,WR,57.0,475.0,12.0,45.0,19.0,15.0,0.0,0.0,11.0,20.95,20.5234,17.76,14.379,16.51,19.31,20.95,1.01,2.01,,,61.40350877,0.0,24.56140351,,,0.2889473684,,11.822412,8.6152248,6.872544,10.990616,1.039259433,,,,,False,True,0.0,Alex Brown,12.0,6.0,69.0,1.0,11.5,5.8,0.5,0.0833333333333333,5.541666666666667,50-100 (Rotational),20.7367,78.94736842105263,16.51,26.31578947368421,25.789473684,14.379,,0.2889473684,0.0,19.298245614035086,,,9.8029204,9.347478,1.039259433,0,8.333333333333334,60.0,105.26315789473684,71.59978917820354,76.42524794320683,74.01251856070519,0.0
Willie Gaines,2022.0,MSJA,WR,99.0,856.0,20.0,24.0,22.0,19.0,0.0,0.0,18.0,21.63,21.1506,11.57166667,10.3164,16.84,19.09,21.63,1.01,1.95,,,57.57575758,2.02020202,4.04040404,,,0.03888888889,,9.425885,10.3548375,5.774846,12.712161,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),21.3903,24.242424242424242,16.84,19.19191919191919,19.292929294,10.3164,,0.03888888889,0.0,18.181818181818183,,,11.53349925,7.6003655,,0,8.646464646464647,43.0,43.43434343434344,50.70164662993296,50.819635281128086,50.76064095553052,1.0
JuanCarlos Santana,2022.0,OKTU,WR,136.0,1101.0,17.0,78.0,27.0,40.0,0.0,0.0,28.0,20.88,19.6118,10.98444444,10.362,16.4,19.12,19.49,1.01,2.11,1.24,,58.08823529,0.7352941176,25.0,,,1.172264151,,12.2424008,14.4023432,9.756558,15.8095784,1.020214858,,,,,False,True,0.0,,,,,,,,,,,100-150 (Starter),19.5509,57.35294117647059,16.4,29.411764705882355,25.22058823404,10.362,1.24,1.172264151,0.0,20.588235294117645,,,15.1059608,10.9994794,1.020214858,0,8.095588235294118,118.0,86.76470588235294,58.797830546513836,51.573276198592445,55.185553372553144,0.0
Nehemiah Martinez,2022.0,TXTC,WR,52.0,393.0,7.0,22.0,4.0,8.0,0.0,0.0,3.0,21.55,19.946,9.32,9.09275,16.48,18.42,15.77,1.02,2.55,,,53.84615385,1.923076923,9.615384615,,,-1.353888889,,10.01109667,13.5160032,6.465736667,14.9027844,2.220493683,,,,,False,True,0.0,Nehemiah Martinez,13.0,32.0,394.0,2.0,12.3,30.3,2.4615384615384617,0.1538461538461538,23.153846153846153,50-100 (Rotational),17.858,42.30769230769231,16.48,15.384615384615385,19.8076923087,9.09275,,-1.353888889,0.0,5.769230769230769,,,14.2093938,8.238416668500001,2.220493683,0,7.5576923076923075,30.0,57.692307692307686,47.145519569994555,45.95426991573268,46.549894742863614,2.0
Raymond James,2022.0,OHKS,WR,141.0,1198.0,25.0,50.0,38.0,19.0,0.0,0.0,7.0,20.68,19.605,10.04,9.7486,16.42,19.04,19.88,1.02,2.04,,,60.9929078,4.964539007,7.80141844,,,-0.2667741935,,10.663352,12.0146796,4.697602,15.5164042,0.7937476143,,,,,False,True,0.0,Raymond James,10.0,13.0,97.0,0.0,7.5,9.7,1.3,0.0,7.45,100-150 (Starter),19.7425,35.46099290780142,16.42,13.47517730496454,22.624113474799998,9.7486,,-0.2667741935,0.0,4.964539007092199,,,13.765541899999999,7.680477,0.7937476143,0,8.49645390070922,69.0,48.93617021276596,50.21417209161446,52.124142683239945,51.169157387427205,1.0
Jackson Meeks,2022.0,GAUN,WR,94.0,520.0,34.0,38.0,24.0,17.0,0.0,0.0,8.0,21.29,20.9252,10.04,9.698,16.3,19.75,21.29,1.02,2.05,,,35.10638298,0.0,11.70212766,,,-0.59,,,11.2606088,,11.4992388,,,,,,False,True,0.0,Jackson Meeks,15.0,6.0,65.0,0.0,10.8,4.3,0.4,0.0,2.966666666666667,50-100 (Rotational),21.107599999999998,40.42553191489361,16.3,18.085106382978726,14.042553192,9.698,,-0.59,0.0,8.51063829787234,,,11.3799238,,,0,5.531914893617022,55.0,58.51063829787234,56.60211577241647,42.013068302152384,49.30759203728442,1.0
