player_name,season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game,recs_per_game,tds_per_game,production_score,vol_tier,spd_score,burst_rt,first_step,brake_rt,route_div,sep_consistency,man_win_rt,tracking,contested_rt,tight_tgt_pct,yac_ability,qb_friendly,sharp_cuts,route_bend,cut_sep,high_vol,dist_per_play,tot_explosive,explosive_rt,ath_score,rr_grade,prospect_score,archetype
Kazmeir Allen,2022.0,CALA,WR,65.0,511.0,14.0,20.0,19.0,15.0,0.0,0.0,9.0,20.53,20.3775,15.00777778,13.6241,16.98,19.24,20.53,1.05,2.05,4.22,4.28,55.38461538,0.0,12.30769231,,,0.06733333333,,6.297559333,11.7965036,5.981658667,14.856422,0.8816252189,,,,,False,True,0.0,Kazmeir Allen,11.0,49.0,403.0,2.0,8.2,36.6,4.454545454545454,0.1818181818181818,30.863636363636363,50-100 (Rotational),20.45375,30.76923076923077,16.98,23.076923076923077,20.307692307,13.6241,4.22,0.06733333333,0.0,13.846153846153847,,,13.3264628,6.139609,0.8816252189,0,7.861538461538461,35.0,53.84615384615385,50.48777931870919,64.1138768633251,57.300828091017145,1.0
Dontayvion Wicks,2022.0,VAUN,WR,79.0,632.0,25.0,32.0,18.0,16.0,0.0,0.0,9.0,20.41,20.077,10.6,10.2058,16.29,19.38,19.77,1.05,2.15,6.58,4.4,54.43037975,0.0,11.39240506,,,0.2886666667,,9.57929,14.9068752,6.37483,13.9646276,0.419459655,Dontayvion Wicks,5.0,159.0,2023.0,True,False,30.0,Dontayvion Wicks,8.0,30.0,430.0,2.0,14.3,53.8,3.75,0.25,39.375,50-100 (Rotational),19.9235,40.50632911392405,16.29,20.253164556962027,19.746835443,10.2058,6.58,0.2886666667,0.0,11.39240506329114,,,14.435751400000001,7.97706,0.419459655,0,8.0,48.0,60.75949367088608,52.902365408101566,58.75468010341286,55.82852275575721,1.0
Marvin Mims Jr.,2022.0,OKUN,WR,287.0,2426.0,62.0,118.0,80.0,63.0,0.0,0.0,42.0,21.84,20.7125,12.814,10.0778,17.0,20.28,21.84,0.95,1.95,3.405,2.596666667,60.27874564,1.045296167,16.37630662,,,-0.6232692308,,10.847438,13.6182732,8.2334168,14.3750712,0.80182479,Marvin Mims Jr.,2.0,63.0,2023.0,True,False,60.0,Marvin Mims Jr.,13.0,54.0,1083.0,6.0,20.1,83.3,4.153846153846154,0.4615384615384615,59.19230769230769,200-300 (Workhorse),21.276249999999997,41.11498257839721,17.0,21.951219512195124,23.414634144799997,10.0778,3.405,-0.6232692308,0.0,14.634146341463413,,,13.9966722,9.5404274,0.80182479,1,8.452961672473867,181.0,63.06620209059234,57.4232513625012,54.14538431089157,55.78431783669639,1.0
Ty MacPherson,2022.0,UTWB,WR,140.0,1208.0,31.0,61.0,23.0,30.0,0.0,0.0,29.0,19.9,19.3737,11.18444444,10.91472,16.67,18.91,19.72,1.05,2.15,,,64.28571429,0.7142857143,12.85714286,,,0.1740740741,,10.9715256,15.5668576,4.8966876,14.8577856,0.6138556333,,,,,False,True,0.0,,,,,,,,,,,100-150 (Starter),19.54685,43.57142857142857,16.67,21.428571428571427,23.42857143072,10.91472,,0.1740740741,0.0,20.714285714285715,,,15.2123216,7.9341066,0.6138556333,0,8.628571428571428,91.0,65.0,53.00111441483256,58.25253508633229,55.62682475058242,1.0
Isaiah Winstead,2022.0,NCEA,WR,114.0,1000.0,19.0,45.0,21.0,28.0,0.0,0.0,20.0,21.15,19.0022,10.7,10.2585,15.8,18.23,21.15,1.04,2.04,4.86,1.14,63.15789474,0.0,14.03508772,,,-0.3465306122,,12.64739,13.6959984,8.2388712,13.5869104,1.954921311,,,,,False,True,0.0,Isaiah Winstead,13.0,88.0,1085.0,6.0,12.3,83.5,6.769230769230769,0.4615384615384615,64.5,100-150 (Starter),20.076099999999997,39.473684210526315,15.8,24.561403508771928,23.157894738,10.2585,4.86,-0.3465306122,0.0,17.543859649122805,,,13.6414544,10.4431306,1.954921311,0,8.771929824561404,73.0,64.03508771929825,52.95014859680549,57.71424221820162,55.332195407503555,1.0
Jalen Knox,2022.0,MSUN,WR,54.0,438.0,14.0,19.0,16.0,8.0,0.0,0.0,0.0,21.63,21.3104,10.45,10.4452,16.89,19.54,21.63,1.05,1.95,,,53.7037037,7.407407407,11.11111111,,,-0.6133333333,,,,,,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),21.4702,35.18518518518518,16.89,14.814814814814813,22.407407405799997,10.4452,,-0.6133333333,,0.0,,,,,,0,8.11111111111111,27.0,50.0,55.54613801629915,54.98183657442804,55.26398729536359,1.0
Taj Davis,2022.0,WAUN,WR,175.0,1166.0,47.0,76.0,54.0,37.0,0.0,0.0,24.0,21.12,20.6504,10.433,10.3877,18.51,19.41,20.71,1.04,2.04,4.16,2.606,44.0,2.857142857,15.42857143,,,0.0224137931,,6.814591,12.1742208,9.6389475,12.8342032,0.49384336,,,,,False,True,0.0,Taj Davis,13.0,21.0,277.0,3.0,13.2,21.3,1.6153846153846154,0.2307692307692307,18.5,150-200 (Heavy),20.6802,43.42857142857143,18.51,21.142857142857142,18.9714285718,10.3877,4.16,0.0224137931,0.0,13.714285714285715,,,12.504211999999999,8.22676925,0.49384336,1,6.662857142857143,113.0,64.57142857142857,56.51479590804172,53.33013924203101,54.922467575036364,1.0
Justin Shorter,2022.0,FLUN,WR,84.0,701.0,8.0,42.0,25.0,22.0,0.0,0.0,13.0,19.92,19.8954,10.0,9.376,16.99,19.41,19.92,1.05,2.14,,,65.47619048,1.19047619,15.47619048,,,-0.6364705882,,10.40881333,14.7036986,4.211251333,15.4850414,2.49103946,Justin Shorter,5.0,150.0,2023.0,True,False,30.0,Justin Shorter,9.0,29.0,577.0,2.0,19.9,64.1,3.2222222222222223,0.2222222222222222,42.94444444444444,50-100 (Rotational),19.9077,50.0,16.99,26.190476190476193,24.761904764,9.376,,-0.6364705882,0.0,15.476190476190476,,,15.09437,7.3100323314999995,2.49103946,0,8.345238095238095,64.0,76.19047619047619,56.836932319993636,52.924672974607866,54.880802647300754,1.0
Justin Shorter,2022.0,FLUN,WR,84.0,701.0,8.0,42.0,25.0,22.0,0.0,0.0,13.0,19.92,19.8954,10.0,9.376,16.99,19.41,19.92,1.05,2.14,,,65.47619048,1.19047619,15.47619048,,,-0.6364705882,,10.40881333,14.7036986,4.211251333,15.4850414,2.49103946,Justin Shorter,5.0,150.0,2023.0,True,False,30.0,Justin Shorter,9.0,29.0,577.0,2.0,19.9,64.1,3.2222222222222223,0.2222222222222222,42.94444444444444,50-100 (Rotational),19.9077,50.0,16.99,26.190476190476193,24.761904764,9.376,,-0.6364705882,0.0,15.476190476190476,,,15.09437,7.3100323314999995,2.49103946,0,8.345238095238095,64.0,76.19047619047619,56.836932319993636,52.924672974607866,54.880802647300754,1.0
Justin Shorter,2022.0,FLUN,WR,84.0,701.0,8.0,42.0,25.0,22.0,0.0,0.0,13.0,19.92,19.8954,10.0,9.376,16.99,19.41,19.92,1.05,2.14,,,65.47619048,1.19047619,15.47619048,,,-0.6364705882,,10.40881333,14.7036986,4.211251333,15.4850414,2.49103946,Justin Shorter,5.0,150.0,2023.0,True,False,30.0,Justin Shorter,9.0,29.0,577.0,2.0,19.9,64.1,3.2222222222222223,0.2222222222222222,42.94444444444444,50-100 (Rotational),19.9077,50.0,16.99,26.190476190476193,24.761904764,9.376,,-0.6364705882,0.0,15.476190476190476,,,15.09437,7.3100323314999995,2.49103946,0,8.345238095238095,64.0,76.19047619047619,56.836932319993636,52.924672974607866,54.880802647300754,1.0
